ID,EIN,Label,Address,City,State,Zip,Assets,Income,Revenue,,,
122,226028959,UNITED WAY OF BERGEN COUNTY,6 FOREST AVENUE,PARAMUS ,NJ,07652-524,12689082,10761086,10634977,16.3562525,,
49,300098254,HOMEBUILDING COMMUNITY FOUNDATION,5120 WOODWAY DR STE 6000,HOUSTON ,TX,77056-179,12978591,7432069,977292,16.37881171,,
126,941450153,UNITED WAY SILICON VALLEY,1400 PARKMOOR AVE STE 250,SAN JOSE ,CA,95126-373,13209483,14258845,13959883,16.39644554,,
99,943151591,SARLO FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,14366599,7138669,680514,16.48041656,,
123,850277138,UNITED WAY OF CENTRAL NEW MEXICO,2340 ALAMO AVE SE FLR 2,ALBUQUERQUE ,NM,87106-382,16328302,26414549,26414549,16.60841048,,
48,426549922,HEARTLAND CHARITABLE TRUST,PO BOX 747,DUBUQUE ,IA,52004-074,16868813,15948711,6103331,16.64097709,,
74,943316088,MZ FOUNDATION,1330 BROADWAY STE 903,OAKLAND ,CA,94612-250,17584288,1,1,16.68251633,,
16,431353948,AT&T FOUNDATION,208 S AKARD 100,DALLAS ,TX,75202-420,18655778,1,1,16.74166647,,
42,521273585,GLOBAL IMPACT,1199 N FAIRFAX ST STE 300,ALEXANDRIA ,VA,22314-144,19809362,100197302,99609283,16.80166521,,
125,941312348,UNITED WAY OF THE BAY AREA,221 MAIN ST STE 300,SAN FRANCISCO ,CA,94105-191,22688895,38423879,33719351,16.93738616,,
34,943045948,CORPORATION OF THE FINE ARTS MUSEUMS,50 HAGIWARA TEA GARDEN DR,SAN FRANCISCO ,CA,94118-450,24281274,47249595,42113660,17.00521599,,
11,943325776,ART SUPPORTING FOUNDATION,601 CALIFORNIA STREET,SAN FRANCISCO ,CA,94108-280,24338041,259134,259134,17.00755116,,
108,943244838,TAUBE FOUNDATION FOR JEWISH LIFE AND CULTURE,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,25196026,11877296,1473642,17.04219684,,
9,201514742,ANDROCLES FOUNDATION INC,534 BROADHOLLOW RD STE 120,MELVILLE ,NY,11747-360,27465398,1,1,17.12843752,,
44,541282616,GOOD360,1330 BRADDOCK PL STE 600,ALEXANDRIA ,VA,22314-970,30707391,298677645,298677645,17.24001393,,
112,680386518,THE CSU CHICO RESEARCH FOUNDATION,CALIFORNIA STATE UNIVERSITY CHICO B,CHICO ,CA,95929-024,32584880,39056523,38821690,17.29935894,,
103,954765734,SOUTHERN CALIFORNIA PUBLIC RADIO,474 S RAYMOND AVENUE,PASADENA ,CA,91105-262,36238980,20798773,20798773,17.40564589,,
81,200253310,PASADENA COMMUNITY FOUNDATION,260 S LOS ROBLES AVE STE 119,PASADENA ,CA,91101-286,36868916,17698493,9398261,17.42287937,,
106,943381315,T GARY AND KATHLEEN ROGERS SUPPORTING FAMILY FOUNDATION,200 FRANK H OGAWA PLZ,OAKLAND ,CA,94612-200,40493042,926828,872432,17.51664071,,
41,237404790,GENERAL EMPLOYEES TRUST FUND,2323 EASTLAKE AVE E,SEATTLE ,WA,98102-330,42425116,124987503,90737212,17.5632511,,
2,946135772,AMERICAN CONSERVATORY THEATRE FOUNDATION,30 GRANT AVE FL 6,SAN FRANCISCO ,CA,94108-588,44088359,19963486,18222105,17.60170634,,
88,941196211,SAN FRANCISCO ART INSTITUTE,800 CHESTNUT ST,SAN FRANCISCO ,CA,94133-220,44743170,27086037,25686507,17.61644937,,
45,941581707,GRADUATE THEOLOGICAL UNION,2400 RIDGE RD,BERKELEY ,CA,94709-121,44772918,17866922,8058501,17.61711401,,
93,942990335,SAN FRANCISCO JAZZ ORGANIZATION,201 FRANKLIN ST,SAN FRANCISCO ,CA,94102-000,46604496,28764369,24251634,17.65720758,,
32,222848738,CORNELL UNIVERSITY FOUNDATION,130 E SENECA ST STE 400,ITHACA ,NY,14850-435,50676357,30822308,9544547,17.74097003,,
0,943210509,ALEXANDER M AND JUNE L MAISIN FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,52096726,8528811,2051918,17.76861266,,
118,941633387,THE NUEVA SCHOOL,6565 SKYLINE BLVD,HILLSBOROUGH ,CA,94010-622,55900309,20483661,16810106,17.83908047,,
79,680480736,NETWORK FOR GOOD INC,1140 CONNECTICUT AVE NW STE 700,WASHINGTON ,DC,20036-401,56249127,171608968,171608968,17.84530108,,
13,941191246,ASIA FOUNDATION,465 CALIFORNIA ST FL 9,SAN FRANCISCO ,CA,94104-182,61636301,154671812,148526277,17.93676156,,
89,941415298,SAN FRANCISCO BALLET ASSOCIATION,455 FRANKLIN ST 3RD FLR,SAN FRANCISCO ,CA,94102-443,63784244,46013191,40237683,17.97101676,,
60,941156528,JEWISH FAMILY & CHILDRENS SERVICES,2150 POST ST,SAN FRANCISCO ,CA,94115-350,68195545,44974171,31667544,18.0378898,,
124,590830840,UNITED WAY OF MIAMI-DADE INC,3250 SW 3RD AVE,MIAMI ,FL,33129-271,85500974,55854375,47647964,18.26403833,,
90,942747262,SAN FRANCISCO BALLET ENDOWMENT FOUNDATION,455 FRANKLIN ST,SAN FRANCISCO ,CA,94102-443,94699331,13245683,4470977,18.36621749,,
67,941241309,KQED INC,2601 MARIPOSA ST,SAN FRANCISCO ,CA,94110-142,101383841,63996680,61893211,18.43442428,,
31,470920831,CONTEMPOARY JEWISH MUSEUM,736 MISSION ST,SAN FRANCISCO ,CA,94103-311,112264652,19133917,11395532,18.53636961,,
91,941156610,SAN FRANCISCO CONSERVATORY OF MUSIC INC,50 OAK ST,SAN FRANCISCO ,CA,94102-601,113080531,39114416,23784769,18.54361079,,
21,136092981,BOARD OF TRUSTEES EQUITY LEAGUE HEALTH TRUST FUND,165 W 46TH ST FL 14,NEW YORK ,NY,10036-250,114089977,163743235,68083932,18.55249797,,
14,941704765,ASIAN ART MUSEUM FOUNDATION OF SAN FRANCISCO,200 LARKIN ST,SAN FRANCISCO ,CA,94102-473,116387106,157116526,55490252,18.57243231,,
23,941156485,CALIFORNIA COLLEGE OF THE ARTS,1111 8TH ST,SAN FRANCISCO ,CA,94107-224,128347593,101575425,83742703,18.67025271,,
58,943227260,JEWISH COMMUNITY CENTER OF SAN FRANCISCO,3200 CALIFORNIA ST,SAN FRANCISCO ,CA,94118-190,129556064,43044662,34060303,18.67962427,,
47,530242992,GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC,3939 CAMPBELL AVENUE,ARLINGTON ,VA,22206-344,139178817,76353389,75616114,18.75127012,,
121,510198509,TIDES FOUNDATION,PO BOX 29903,SAN FRANCISCO ,CA,94129-090,156657142,159774103,96474947,18.86957017,,
113,941696494,THE EXPLORATORIUM,3601 LYON ST,SAN FRANCISCO ,CA,94123-101,157012815,167259969,56364181,18.87183798,,
115,131624240,THE JEWISH FEDERATIONS OF NORTH AMERICA INC,25 BROADWAY FL 17,NEW YORK ,NY,10004-101,179564660,51434384,48180517,19.00604592,,
87,956042721,SAN DIEGO STATE UNIVERSITY FOUNDATION,5250 CAMPANILE DR,SAN DIEGO ,CA,92182-194,186933922,212251787,184025471,19.04626575,,
33,132607374,CORPORATION FOR PUBLIC BROADCASTING,401 9TH STREET NW,WASHINGTON ,DC,20004-212,202026503,1074930065,473225376,19.12390945,,
95,940836240,SAN FRANCISCO OPERA ASSOCIATION,301 VAN NESS AVE WAR MEMORIAL OPERA,SAN FRANCISCO ,CA,94102-000,211119844,101934208,62947804,19.16793651,,
114,720408921,THE GREATER NEW ORLEANS FOUNDATION,1055 ST CHARLES AVE STE 100,NEW ORLEANS ,LA,70130-398,212855549,53888024,27042153,19.17612432,,
73,42103916,MUSEUM OF SCIENCE,1 SCIENCE PARK,BOSTON ,MA,02114-109,221640179,95216800,66447920,19.21656581,,
25,952962604,CALIFORNIA LUTHERAN UNIVERSITY,60 WEST OLSEN ROAD M/C 1200,THOUSAND OAKS ,CA,91360-270,239666769,158581044,127703378,19.29476005,,
37,946070996,EAST BAY COMMUNITY FOUNDATION,200 FRANK H OGAWA PLZ,OAKLAND ,CA,94612-200,262358564,23737081,23605868,19.38522269,,
94,941156300,SAN FRANCISCO MUSEUM OF MODERN ART,151 3RD ST,SAN FRANCISCO ,CA,94103-310,262858593,107216428,49034556,19.38712678,,
78,530210807,NATIONAL TRUST FOR HISTORIC PRESERVATION IN THE UNITED STATES,2600 VIRGINIA AVE NW STE 1000,WASHINGTON ,DC,20037-192,298677434,1,1,19.51487473,,
97,941156284,SAN FRANCISCO SYMPHONY,201 VAN NESS AVE,SAN FRANCISCO ,CA,94102-450,306759580,97699666,86419597,19.54157487,,
29,237098397,COLORADO STATE UNIVERSITY FOUNDATION,410 UNIVERSITY SERVICES CTR,FT COLLINS ,CO,80523-910,325352506,138441520,54519612,19.60041979,,
4,341747398,AMERICAN ENDOWMENT FOUNDATION,PO BOX 911,HUDSON ,OH,44236-591,329375167,133686889,133686889,19.61270798,,
69,943007979,MARIN COMMUNITY FOUNDATION,5 HAMILTON LANDING STE 200,NOVATO ,CA,94949-826,333013779,111341426,97593235,19.62369443,,
17,141782466,AYCO CHARITABLE FOUNDATION,25 BRITISH AMERICAN BLVD,LATHAM ,NY,12110-140,346433200,538986614,161373700,19.66320057,,
127,311663020,US CHARITABLE GIFT TRUST,1100 NORTH MARKET STREET 2ND FLOOR,WILMINGTON ,DE,19890-110,432823946,168258134,78416487,19.88584161,,
38,946096509,FINE ARTS MUSEUMS FOUNDATION,50 HAGIWARA TEA GARDEN DR,SAN FRANCISCO ,CA,94118-450,468218866,175540765,21535198,19.96444641,,
7,131656634,AMERICAN JEWISH JOINT DISTRIBUTION COMMITTEE INC,711 THIRD AVE,NEW YORK ,NY,10017-401,483793948,376036280,316241721,19.99716965,,
120,916013536,THE SEATTLE FOUNDATION,1200 5TH AVE STE 1300,SEATTLE ,WA,98101-315,585799314,224388217,66689526,20.18848782,,
43,311774905,GOLDMAN SACHS PHILANTHROPY FUND,30 HUDSON ST 15TH FL,JERSEY CITY ,NJ,07302-460,591788105,911924652,273830821,20.1986592,,
59,941156533,JEWISH COMMUNITY FEDERATION OF S F MARIN PENINSULA & SONOMA COUNTIES,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,675137451,161192035,99552932,20.33042686,,
98,943147856,SANDLER FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,683935436,47835830,14415765,20.34337408,,
24,954523231,CALIFORNIA HEALTHCARE FOUNDATION,1438 WEBSTER ST STE 400,OAKLAND ,CA,94612-322,722790343,65557284,24449889,20.39862976,,
22,941156258,CALIFORNIA ACADEMY OF SCIENCE,55 MUSIC CONCOURSE DR,SAN FRANCISCO ,CA,94118-450,830687480,1774849447,65982876,20.53776421,,
46,431152398,GREATER KANSAS CITY COMMUNITY FOUNDATION,1055 BROADWAY ST STE 130,KANSAS CITY ,MO,64105-159,1161708348,321967410,152012476,20.87315747,,
57,237174183,JEWISH COMMUNAL FUND,575 MADISON AVENUE,NEW YORK ,NY,10022-251,1179807027,1948411362,390169085,20.88861673,,
77,530193519,NATIONAL GEOGRAPHIC SOCIETY,1145 17TH ST NW,WASHINGTON ,DC,20036-470,1227203295,604636740,456080227,20.92800367,,
8,530196549,AMERICAN UNIVERSITY,C/O CONTROLLERS OFFICE,WASHINGTON ,DC,20016-000,1419399768,785138465,620191993,21.07349992,,
117,133062214,THE NEW YORK COMMUNITY TRUST,909 THIRD AVE STE 22ND FL,NEW YORK ,NY,10022-473,2147925714,734970466,262682259,21.48776843,,
101,205205488,SILICON VALLEY COMMUNITY FOUNDATION,2440 WEST EL CAMINO REAL,MOUNTAIN VIEW ,CA,94040-149,2193211675,1969923161,997817676,21.50863282,,
100,311640316,SCHWAB CHARITABLE FUND,211 MAIN ST,SAN FRANCISCO ,CA,94105-190,3175884124,1164813914,722470714,21.87885189,,
63,941105628,KAISER FOUNDATION HOSPITALS,2701 NW VAUGHN STREET,PORTLAND ,OR,97210-531,28948439297,24188927784,17980030355,24.08878213,,
